,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBCNEWS,Sat Jul 14 17:16:59 +0000 2018,"RT @BBCWorld: Mon dieu! 🤦‍♀️

#BastilleDay went off with a bang - for these police motorcyclists

https://t.co/jh88YrDQA4 #14juillet https:…",0.0,0.0,1.0,0.0,1
1,BBCNEWS,Sat Jul 14 17:06:23 +0000 2018,Autistic boy's mum praises 'lovely' school prom classmates https://t.co/KkrBN5beHd,0.5267,0.298,0.702,0.0,2
2,BBCNEWS,Sat Jul 14 16:48:37 +0000 2018,Is Russia the real winner of World Cup 2018? https://t.co/Gzn3gkKL1r,0.5859,0.297,0.703,0.0,3
3,BBCNEWS,Sat Jul 14 16:33:56 +0000 2018,Wimbledon 2018: Angeligue Kerber beats Serena Williams to win title https://t.co/AiqRmK0qjJ,0.5859,0.275,0.725,0.0,4
4,BBCNEWS,Sat Jul 14 16:22:54 +0000 2018,"RT @5liveSport: History for Angelique Kerber! 👏

The German beats Serena Williams 6-3, 6-3 to win her first ever #Wimbledon singles title!…",0.658,0.166,0.834,0.0,5
5,BBCNEWS,Sat Jul 14 16:22:11 +0000 2018,Reality Check: is London's murder rate still higher than New York's? https://t.co/EDqS4bkt1m,-0.6908,0.0,0.701,0.299,6
6,BBCNEWS,Sat Jul 14 16:17:28 +0000 2018,British teenager dies in Magaluf balcony fall https://t.co/YeZ1wD1jWr,0.0,0.0,1.0,0.0,7
7,BBCNEWS,Sat Jul 14 16:04:21 +0000 2018,Dog poo in Clevedon's Marine Lake causes ear infections https://t.co/UlMulVTx3y,0.0,0.0,1.0,0.0,8
8,BBCNEWS,Sat Jul 14 15:59:53 +0000 2018,World Cup 2018: England finish fourth after Belgium defeat https://t.co/cjulTH4qCh,-0.4588,0.0,0.75,0.25,9
9,BBCNEWS,Sat Jul 14 15:52:09 +0000 2018,"RT @BBCSport: FT Belgium 2-0 England

England leave Russia with their heads held high and their joint-best #worldcup finish since '66.

Bel…",-0.0516,0.0,0.946,0.054,10
10,BBCNEWS,Sat Jul 14 15:41:55 +0000 2018,"RT @BBCSport: GOAL

That might just settle it.

Eden Hazard races past Phil Jones and makes it Belgium 2-0 England

Live 👉 https://t.co/zMI…",0.0,0.0,1.0,0.0,11
11,BBCNEWS,Sat Jul 14 15:19:24 +0000 2018,"RT @bbctennis: A royal standing ovation.

But who will be crowned the queen of Wimbledon 2018?

#bbctennis #wimbledon https://t.co/Z5an2Giy…",0.0,0.0,1.0,0.0,12
12,BBCNEWS,Sat Jul 14 15:06:50 +0000 2018,"RT @5liveSport: Two changes for #ENG as we get back under way in Saint Petersburg 

Lingard 🔄 Rose

Rashford 🔄  Sterling

They trail #BEL b…",0.0,0.0,1.0,0.0,13
